section,category,metric,type,date,value
Vaccine Administration,Administration_Series,Cumulative Daily,Janssen,2020-12-14,2
Vaccine Administration,Administration_Series,Cumulative Daily,Pfizer,2020-12-14,204
Vaccine Administration,Administration_Series,Cumulative Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration_Series,Daily,All COVID Vaccines,2020-12-14,238
Vaccine Administration,Administration_Series,Daily,Janssen,2020-12-14,2
Vaccine Administration,Administration_Series,Daily,Pfizer,2020-12-14,204
Vaccine Administration,Administration_Series,Daily,Unspecified COVID Vaccine,2020-12-14,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-15,568
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-15,4
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-15,484
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-15,5
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-15,330
Vaccine Administration,Administration,Daily,Janssen,2020-12-15,2
Vaccine Administration,Administration,Daily,Pfizer,2020-12-15,280
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-15,5
Vaccine Administration,Administration_Additional,Cumulative Daily,All COVID Vaccines,2020-12-15,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Janssen,2020-12-15,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Pfizer,2020-12-15,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Unspecified COVID Vaccine,2020-12-15,0
Vaccine Administration,Administration_Additional,Daily,All COVID Vaccines,2020-12-15,0
Vaccine Administration,Administration_Additional,Daily,Janssen,2020-12-15,0
Vaccine Administration,Administration_Additional,Daily,Pfizer,2020-12-15,0
Vaccine Administration,Administration_Additional,Daily,Unspecified COVID Vaccine,2020-12-15,0
Vaccine Administration,Administration_Series,Cumulative Daily,All COVID Vaccines,2020-12-15,568
Vaccine Administration,Administration_Series,Cumulative Daily,Janssen,2020-12-15,4
Vaccine Administration,Administration_Series,Cumulative Daily,Pfizer,2020-12-15,484
Vaccine Administration,Administration_Series,Cumulative Daily,Unspecified COVID Vaccine,2020-12-15,5
Vaccine Administration,Administration_Series,Daily,All COVID Vaccines,2020-12-15,330
Vaccine Administration,Administration_Series,Daily,Janssen,2020-12-15,2
Vaccine Administration,Administration_Series,Daily,Pfizer,2020-12-15,280
Vaccine Administration,Administration_Series,Daily,Unspecified COVID Vaccine,2020-12-15,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-16,4929
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-16,7
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-16,4808
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-16,6
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-16,4361
Vaccine Administration,Administration,Daily,Janssen,2020-12-16,3
Vaccine Administration,Administration,Daily,Pfizer,2020-12-16,4324
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-16,1
Vaccine Administration,Administration_Additional,Cumulative Daily,All COVID Vaccines,2020-12-16,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Janssen,2020-12-16,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Pfizer,2020-12-16,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Unspecified COVID Vaccine,2020-12-16,0
Vaccine Administration,Administration_Additional,Daily,All COVID Vaccines,2020-12-16,0
Vaccine Administration,Administration_Additional,Daily,Janssen,2020-12-16,0
Vaccine Administration,Administration_Additional,Daily,Pfizer,2020-12-16,0
Vaccine Administration,Administration_Additional,Daily,Unspecified COVID Vaccine,2020-12-16,0
Vaccine Administration,Administration_Series,Cumulative Daily,All COVID Vaccines,2020-12-16,4929
Vaccine Administration,Administration_Series,Cumulative Daily,Janssen,2020-12-16,7
Vaccine Administration,Administration_Series,Cumulative Daily,Pfizer,2020-12-16,4808
Vaccine Administration,Administration_Series,Cumulative Daily,Unspecified COVID Vaccine,2020-12-16,6
Vaccine Administration,Administration_Series,Daily,All COVID Vaccines,2020-12-16,4361
Vaccine Administration,Administration_Series,Daily,Janssen,2020-12-16,3
Vaccine Administration,Administration_Series,Daily,Pfizer,2020-12-16,4324
Vaccine Administration,Administration_Series,Daily,Unspecified COVID Vaccine,2020-12-16,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-17,17433
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-17,8
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-17,17277
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-17,8
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-17,12504
Vaccine Administration,Administration,Daily,Janssen,2020-12-17,1
Vaccine Administration,Administration,Daily,Pfizer,2020-12-17,12469
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-17,2
Vaccine Administration,Administration_Additional,Cumulative Daily,All COVID Vaccines,2020-12-17,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Janssen,2020-12-17,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Pfizer,2020-12-17,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Unspecified COVID Vaccine,2020-12-17,0
Vaccine Administration,Administration_Additional,Daily,All COVID Vaccines,2020-12-17,0
Vaccine Administration,Administration_Additional,Daily,Janssen,2020-12-17,0
Vaccine Administration,Administration_Additional,Daily,Pfizer,2020-12-17,0
Vaccine Administration,Administration_Additional,Daily,Unspecified COVID Vaccine,2020-12-17,0
Vaccine Administration,Administration_Series,Cumulative Daily,All COVID Vaccines,2020-12-17,17433
Vaccine Administration,Administration_Series,Cumulative Daily,Janssen,2020-12-17,8
Vaccine Administration,Administration_Series,Cumulative Daily,Pfizer,2020-12-17,17277
Vaccine Administration,Administration_Series,Cumulative Daily,Unspecified COVID Vaccine,2020-12-17,8
Vaccine Administration,Administration_Series,Daily,All COVID Vaccines,2020-12-17,12504
Vaccine Administration,Administration_Series,Daily,Janssen,2020-12-17,1
Vaccine Administration,Administration_Series,Daily,Pfizer,2020-12-17,12469
Vaccine Administration,Administration_Series,Daily,Unspecified COVID Vaccine,2020-12-17,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-18,30080
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-18,8
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-18,29883
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-18,11
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-18,12647
Vaccine Administration,Administration,Daily,Janssen,2020-12-18,0
Vaccine Administration,Administration,Daily,Pfizer,2020-12-18,12606
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-18,3
Vaccine Administration,Administration_Additional,Cumulative Daily,All COVID Vaccines,2020-12-18,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Janssen,2020-12-18,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Pfizer,2020-12-18,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Unspecified COVID Vaccine,2020-12-18,0
Vaccine Administration,Administration_Additional,Daily,All COVID Vaccines,2020-12-18,0
Vaccine Administration,Administration_Additional,Daily,Janssen,2020-12-18,0
Vaccine Administration,Administration_Additional,Daily,Pfizer,2020-12-18,0
Vaccine Administration,Administration_Additional,Daily,Unspecified COVID Vaccine,2020-12-18,0
Vaccine Administration,Administration_Series,Cumulative Daily,All COVID Vaccines,2020-12-18,30080
Vaccine Administration,Administration_Series,Cumulative Daily,Janssen,2020-12-18,8
Vaccine Administration,Administration_Series,Cumulative Daily,Pfizer,2020-12-18,29883
Vaccine Administration,Administration_Series,Cumulative Daily,Unspecified COVID Vaccine,2020-12-18,11
Vaccine Administration,Administration_Series,Daily,All COVID Vaccines,2020-12-18,12647
Vaccine Administration,Administration_Series,Daily,Janssen,2020-12-18,0
Vaccine Administration,Administration_Series,Daily,Pfizer,2020-12-18,12606
Vaccine Administration,Administration_Series,Daily,Unspecified COVID Vaccine,2020-12-18,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-19,35694
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-19,8
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-19,35486
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-19,13
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-19,5614
Vaccine Administration,Administration,Daily,Janssen,2020-12-19,0
Vaccine Administration,Administration,Daily,Pfizer,2020-12-19,5603
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-19,2
Vaccine Administration,Administration_Additional,Cumulative Daily,All COVID Vaccines,2020-12-19,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Janssen,2020-12-19,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Pfizer,2020-12-19,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Unspecified COVID Vaccine,2020-12-19,0
Vaccine Administration,Administration_Additional,Daily,All COVID Vaccines,2020-12-19,0
Vaccine Administration,Administration_Additional,Daily,Janssen,2020-12-19,0
Vaccine Administration,Administration_Additional,Daily,Pfizer,2020-12-19,0
Vaccine Administration,Administration_Additional,Daily,Unspecified COVID Vaccine,2020-12-19,0
Vaccine Administration,Administration_Series,Cumulative Daily,All COVID Vaccines,2020-12-19,35694
Vaccine Administration,Administration_Series,Cumulative Daily,Janssen,2020-12-19,8
Vaccine Administration,Administration_Series,Cumulative Daily,Pfizer,2020-12-19,35486
Vaccine Administration,Administration_Series,Cumulative Daily,Unspecified COVID Vaccine,2020-12-19,13
Vaccine Administration,Administration_Series,Daily,All COVID Vaccines,2020-12-19,5614
Vaccine Administration,Administration_Series,Daily,Janssen,2020-12-19,0
Vaccine Administration,Administration_Series,Daily,Pfizer,2020-12-19,5603
Vaccine Administration,Administration_Series,Daily,Unspecified COVID Vaccine,2020-12-19,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-20,38672
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-20,8
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-20,39
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-20,38420
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-20,18
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2020-12-20,74027
Vaccine Administration,Administration,Cumulative Weekly,Janssen,2020-12-20,9
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2020-12-20,20220
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2020-12-20,53491
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2020-12-20,31
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-20,2978
Vaccine Administration,Administration,Daily,Janssen,2020-12-20,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-20,39
Vaccine Administration,Administration,Daily,Pfizer,2020-12-20,2934
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-20,5
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2020-12-20,38331
Vaccine Administration,Administration,Weekly,Janssen,2020-12-20,1
Vaccine Administration,Administration,Weekly,Moderna,2020-12-20,20220
Vaccine Administration,Administration,Weekly,Pfizer,2020-12-20,18005
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2020-12-20,18
Vaccine Administration,Administration_Additional,Cumulative Daily,All COVID Vaccines,2020-12-20,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Janssen,2020-12-20,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Moderna,2020-12-20,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Pfizer,2020-12-20,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Unspecified COVID Vaccine,2020-12-20,0
Vaccine Administration,Administration_Additional,Cumulative Weekly,All COVID Vaccines,2020-12-20,0
Vaccine Administration,Administration_Additional,Cumulative Weekly,Janssen,2020-12-20,0
Vaccine Administration,Administration_Additional,Cumulative Weekly,Moderna,2020-12-20,0
Vaccine Administration,Administration_Additional,Cumulative Weekly,Pfizer,2020-12-20,0
Vaccine Administration,Administration_Additional,Cumulative Weekly,Unspecified COVID Vaccine,2020-12-20,0
Vaccine Administration,Administration_Additional,Daily,All COVID Vaccines,2020-12-20,0
Vaccine Administration,Administration_Additional,Daily,Janssen,2020-12-20,0
Vaccine Administration,Administration_Additional,Daily,Moderna,2020-12-20,0
Vaccine Administration,Administration_Additional,Daily,Pfizer,2020-12-20,0
Vaccine Administration,Administration_Additional,Daily,Unspecified COVID Vaccine,2020-12-20,0
Vaccine Administration,Administration_Additional,Weekly,All COVID Vaccines,2020-12-20,0
Vaccine Administration,Administration_Additional,Weekly,Janssen,2020-12-20,0
Vaccine Administration,Administration_Additional,Weekly,Moderna,2020-12-20,0
Vaccine Administration,Administration_Additional,Weekly,Pfizer,2020-12-20,0
Vaccine Administration,Administration_Additional,Weekly,Unspecified COVID Vaccine,2020-12-20,0
Vaccine Administration,Administration_Series,Cumulative Daily,All COVID Vaccines,2020-12-20,38672
Vaccine Administration,Administration_Series,Cumulative Daily,Janssen,2020-12-20,8
Vaccine Administration,Administration_Series,Cumulative Daily,Moderna,2020-12-20,39
Vaccine Administration,Administration_Series,Cumulative Daily,Pfizer,2020-12-20,38420
Vaccine Administration,Administration_Series,Cumulative Daily,Unspecified COVID Vaccine,2020-12-20,18
Vaccine Administration,Administration_Series,Cumulative Weekly,All COVID Vaccines,2020-12-20,74027
Vaccine Administration,Administration_Series,Cumulative Weekly,Janssen,2020-12-20,9
Vaccine Administration,Administration_Series,Cumulative Weekly,Moderna,2020-12-20,20220
Vaccine Administration,Administration_Series,Cumulative Weekly,Pfizer,2020-12-20,53491
Vaccine Administration,Administration_Series,Cumulative Weekly,Unspecified COVID Vaccine,2020-12-20,31
Vaccine Administration,Administration_Series,Daily,All COVID Vaccines,2020-12-20,2978
Vaccine Administration,Administration_Series,Daily,Janssen,2020-12-20,0
Vaccine Administration,Administration_Series,Daily,Moderna,2020-12-20,39
Vaccine Administration,Administration_Series,Daily,Pfizer,2020-12-20,2934
Vaccine Administration,Administration_Series,Daily,Unspecified COVID Vaccine,2020-12-20,5
Vaccine Administration,Administration_Series,Weekly,All COVID Vaccines,2020-12-20,38331
Vaccine Administration,Administration_Series,Weekly,Janssen,2020-12-20,1
Vaccine Administration,Administration_Series,Weekly,Moderna,2020-12-20,20220
Vaccine Administration,Administration_Series,Weekly,Pfizer,2020-12-20,18005
Vaccine Administration,Administration_Series,Weekly,Unspecified COVID Vaccine,2020-12-20,18
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2020-12-20,199775
Vaccine Administration,Distribution,Cumulative Weekly,Janssen,2020-12-20,0
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2020-12-20,128600
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2020-12-20,71175
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2020-12-20,45675
Vaccine Administration,Distribution,Weekly,Janssen,2020-12-20,0
Vaccine Administration,Distribution,Weekly,Moderna,2020-12-20,33000
Vaccine Administration,Distribution,Weekly,Pfizer,2020-12-20,12675
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-21,44472
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-21,9
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-21,79
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-21,44140
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-21,22
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-21,5800
Vaccine Administration,Administration,Daily,Janssen,2020-12-21,1
Vaccine Administration,Administration,Daily,Moderna,2020-12-21,40
Vaccine Administration,Administration,Daily,Pfizer,2020-12-21,5720
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-21,4
Vaccine Administration,Administration_Additional,Cumulative Daily,All COVID Vaccines,2020-12-21,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Janssen,2020-12-21,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Moderna,2020-12-21,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Pfizer,2020-12-21,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Unspecified COVID Vaccine,2020-12-21,0
Vaccine Administration,Administration_Additional,Daily,All COVID Vaccines,2020-12-21,0
Vaccine Administration,Administration_Additional,Daily,Janssen,2020-12-21,0
Vaccine Administration,Administration_Additional,Daily,Moderna,2020-12-21,0
Vaccine Administration,Administration_Additional,Daily,Pfizer,2020-12-21,0
Vaccine Administration,Administration_Additional,Daily,Unspecified COVID Vaccine,2020-12-21,0
Vaccine Administration,Administration_Series,Cumulative Daily,All COVID Vaccines,2020-12-21,44472
Vaccine Administration,Administration_Series,Cumulative Daily,Janssen,2020-12-21,9
Vaccine Administration,Administration_Series,Cumulative Daily,Moderna,2020-12-21,79
Vaccine Administration,Administration_Series,Cumulative Daily,Pfizer,2020-12-21,44140
Vaccine Administration,Administration_Series,Cumulative Daily,Unspecified COVID Vaccine,2020-12-21,22
Vaccine Administration,Administration_Series,Daily,All COVID Vaccines,2020-12-21,5800
Vaccine Administration,Administration_Series,Daily,Janssen,2020-12-21,1
Vaccine Administration,Administration_Series,Daily,Moderna,2020-12-21,40
Vaccine Administration,Administration_Series,Daily,Pfizer,2020-12-21,5720
Vaccine Administration,Administration_Series,Daily,Unspecified COVID Vaccine,2020-12-21,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-22,52415
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-22,9
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-22,3864
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-22,48269
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-22,27
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-22,7943
Vaccine Administration,Administration,Daily,Janssen,2020-12-22,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-22,3785
Vaccine Administration,Administration,Daily,Pfizer,2020-12-22,4129
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-22,5
Vaccine Administration,Administration_Additional,Cumulative Daily,All COVID Vaccines,2020-12-22,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Janssen,2020-12-22,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Moderna,2020-12-22,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Pfizer,2020-12-22,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Unspecified COVID Vaccine,2020-12-22,0
Vaccine Administration,Administration_Additional,Daily,All COVID Vaccines,2020-12-22,0
Vaccine Administration,Administration_Additional,Daily,Janssen,2020-12-22,0
Vaccine Administration,Administration_Additional,Daily,Moderna,2020-12-22,0
Vaccine Administration,Administration_Additional,Daily,Pfizer,2020-12-22,0
Vaccine Administration,Administration_Additional,Daily,Unspecified COVID Vaccine,2020-12-22,0
Vaccine Administration,Administration_Series,Cumulative Daily,All COVID Vaccines,2020-12-22,52415
Vaccine Administration,Administration_Series,Cumulative Daily,Janssen,2020-12-22,9
Vaccine Administration,Administration_Series,Cumulative Daily,Moderna,2020-12-22,3864
Vaccine Administration,Administration_Series,Cumulative Daily,Pfizer,2020-12-22,48269
Vaccine Administration,Administration_Series,Cumulative Daily,Unspecified COVID Vaccine,2020-12-22,27
Vaccine Administration,Administration_Series,Daily,All COVID Vaccines,2020-12-22,7943
Vaccine Administration,Administration_Series,Daily,Janssen,2020-12-22,0
Vaccine Administration,Administration_Series,Daily,Moderna,2020-12-22,3785
Vaccine Administration,Administration_Series,Daily,Pfizer,2020-12-22,4129
Vaccine Administration,Administration_Series,Daily,Unspecified COVID Vaccine,2020-12-22,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-23,67161
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-23,9
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-23,14538
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-23,52312
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-23,29
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-23,14746
Vaccine Administration,Administration,Daily,Janssen,2020-12-23,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-23,10674
Vaccine Administration,Administration,Daily,Pfizer,2020-12-23,4043
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-23,2
Vaccine Administration,Administration_Additional,Cumulative Daily,All COVID Vaccines,2020-12-23,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Janssen,2020-12-23,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Moderna,2020-12-23,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Pfizer,2020-12-23,0
Vaccine Administration,Administration_Additional,Cumulative Daily,Unspecified COVID Vaccine,2020-12-23,0
Vaccine Administration,Administration_Additional,Daily,All COVID Vaccines,2020-12-23,0
Vaccine Administration,Administration_Additional,Daily,Janssen,2020-12-23,0
Vaccine Administration,Administration_Additional,Daily,Moderna,2020-12-23,0
Vaccine Administration,Administration_Additional,Daily,Pfizer,2020-12-23,0
Vaccine Administration,Administration_Additional,Daily,Unspecified COVID Vaccine,2020-12-23,0
Vaccine Administration,Administration_Series,Cumulative Daily,All COVID Vaccines,2020-12-23,67161
Vaccine Administration,Administration_Series,Cumulative Daily,Janssen,2020-12-23,9
Vaccine Administration,Administration_Series,Cumulative Daily,Moderna,2020-12-23,14538
Vaccine Administration,Administration_Series,Cumulative Daily,Pfizer,2020-12-23,52312
Vaccine Administration,Administration_Series,Cumulative Daily,Unspecified COVID Vaccine,2020-12-23,29
Vaccine Administration,Administration_Series,Daily,All COVID Vaccines,2020-12-23,14746
Vaccine Administration,Administration_Series,Daily,Janssen,2020-12-23,0
Vaccine Administration,Administration_Series,Daily,Moderna,2020-12-23,10674
Vaccine Administration,Administration_Series,Daily,Pfizer,2020-12-23,4043
Vaccine Administration,Administration_Series,Daily,Unspecified COVID Vaccine,2020-12-23,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-24,71390
Vaccine Administration,Administration,Cumulative Daily,Janssen,2020-12-24,9
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-24,18014
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-24,53063
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-24,31
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-24,4229
Vaccine Administration,Administration,Daily,Janssen,2020-12-24,0
Vaccine Administration,Administration,Daily,Moderna,2020-12-24,3476
Vaccine Administration,Administration,Daily,Pfizer,2020-12-24,751
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-24,2
