section,category,metric,type,date,value
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2020-12-31,115840
Vaccine Administration,Administration,Cumulative Daily,Moderna,2020-12-31,51120
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2020-12-31,64695
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2020-12-31,19
Vaccine Administration,Administration,Daily,All COVID Vaccines,2020-12-31,9631
Vaccine Administration,Administration,Daily,Moderna,2020-12-31,5821
Vaccine Administration,Administration,Daily,Pfizer,2020-12-31,3807
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2020-12-31,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-01,116747
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-01,51495
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-01,65227
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-01,19
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-01,907
Vaccine Administration,Administration,Daily,Moderna,2021-01-01,375
Vaccine Administration,Administration,Daily,Pfizer,2021-01-01,532
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-01,0
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-02,122611
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-02,53587
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-02,68998
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-02,20
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-02,5864
Vaccine Administration,Administration,Daily,Moderna,2021-01-02,2092
Vaccine Administration,Administration,Daily,Pfizer,2021-01-02,3771
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-02,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-03,124654
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-03,54393
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-03,70235
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-03,20
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-03,235716
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-03,110623
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-03,125032
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-03,42
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-03,2043
Vaccine Administration,Administration,Daily,Moderna,2021-01-03,806
Vaccine Administration,Administration,Daily,Pfizer,2021-01-03,1237
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-03,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-03,113092
Vaccine Administration,Administration,Weekly,Moderna,2021-01-03,57036
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-03,56034
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-03,22
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-01-03,340050
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-01-03,193800
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-01-03,146250
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-01-03,72650
Vaccine Administration,Distribution,Weekly,Moderna,2021-01-03,47300
Vaccine Administration,Distribution,Weekly,Pfizer,2021-01-03,25350
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-04,133616
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-04,60180
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-04,73407
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-04,23
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-04,8962
Vaccine Administration,Administration,Daily,Moderna,2021-01-04,5787
Vaccine Administration,Administration,Daily,Pfizer,2021-01-04,3172
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-04,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-05,145524
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-05,68086
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-05,77407
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-05,26
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-05,11908
Vaccine Administration,Administration,Daily,Moderna,2021-01-05,7906
Vaccine Administration,Administration,Daily,Pfizer,2021-01-05,4000
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-05,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-06,165248
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-06,78673
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-06,86541
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-06,30
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-06,19724
Vaccine Administration,Administration,Daily,Moderna,2021-01-06,10587
Vaccine Administration,Administration,Daily,Pfizer,2021-01-06,9134
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-06,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-07,191737
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-07,90028
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-07,101670
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-07,35
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-07,26489
Vaccine Administration,Administration,Daily,Moderna,2021-01-07,11355
Vaccine Administration,Administration,Daily,Pfizer,2021-01-07,15129
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-07,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-08,221663
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-08,103742
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-08,117878
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-08,39
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-08,29926
Vaccine Administration,Administration,Daily,Moderna,2021-01-08,13714
Vaccine Administration,Administration,Daily,Pfizer,2021-01-08,16208
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-08,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-09,235701
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-09,110623
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-09,125032
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-09,42
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-09,14038
Vaccine Administration,Administration,Daily,Moderna,2021-01-09,6881
Vaccine Administration,Administration,Daily,Pfizer,2021-01-09,7154
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-09,3
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-10,239958
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-10,112067
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-10,127845
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-10,42
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-10,344481
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-10,164884
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-10,179502
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-10,76
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-10,4257
Vaccine Administration,Administration,Daily,Moderna,2021-01-10,1444
Vaccine Administration,Administration,Daily,Pfizer,2021-01-10,2813
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-10,0
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-10,108765
Vaccine Administration,Administration,Weekly,Moderna,2021-01-10,54261
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-10,54470
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-10,34
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-01-10,517425
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-01-10,323400
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-01-10,194025
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-01-10,177375
Vaccine Administration,Distribution,Weekly,Moderna,2021-01-10,129600
Vaccine Administration,Distribution,Weekly,Pfizer,2021-01-10,47775
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-11,257014
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-11,119889
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-11,137075
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-11,46
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-11,17056
Vaccine Administration,Administration,Daily,Moderna,2021-01-11,7822
Vaccine Administration,Administration,Daily,Pfizer,2021-01-11,9230
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-11,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-12,273287
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-12,128135
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-12,145098
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-12,50
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-12,16273
Vaccine Administration,Administration,Daily,Moderna,2021-01-12,8246
Vaccine Administration,Administration,Daily,Pfizer,2021-01-12,8023
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-12,4
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-13,293875
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-13,139117
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-13,154688
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-13,67
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-13,20588
Vaccine Administration,Administration,Daily,Moderna,2021-01-13,10982
Vaccine Administration,Administration,Daily,Pfizer,2021-01-13,9590
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-13,17
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-14,313386
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-14,149075
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-14,164237
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-14,72
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-14,19511
Vaccine Administration,Administration,Daily,Moderna,2021-01-14,9958
Vaccine Administration,Administration,Daily,Pfizer,2021-01-14,9549
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-14,5
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-15,332955
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-15,159000
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-15,173879
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-15,74
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-15,19569
Vaccine Administration,Administration,Daily,Moderna,2021-01-15,9925
Vaccine Administration,Administration,Daily,Pfizer,2021-01-15,9642
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-15,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-16,344464
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-16,164884
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-16,179502
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-16,76
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-16,11509
Vaccine Administration,Administration,Daily,Moderna,2021-01-16,5884
Vaccine Administration,Administration,Daily,Pfizer,2021-01-16,5623
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-16,2
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-17,348355
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-17,167058
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-17,181215
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-17,80
Vaccine Administration,Administration,Cumulative Weekly,All COVID Vaccines,2021-01-17,472827
Vaccine Administration,Administration,Cumulative Weekly,Moderna,2021-01-17,234301
Vaccine Administration,Administration,Cumulative Weekly,Pfizer,2021-01-17,238398
Vaccine Administration,Administration,Cumulative Weekly,Unspecified COVID Vaccine,2021-01-17,109
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-17,3891
Vaccine Administration,Administration,Daily,Moderna,2021-01-17,2174
Vaccine Administration,Administration,Daily,Pfizer,2021-01-17,1713
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-17,4
Vaccine Administration,Administration,Weekly,All COVID Vaccines,2021-01-17,128346
Vaccine Administration,Administration,Weekly,Moderna,2021-01-17,69417
Vaccine Administration,Administration,Weekly,Pfizer,2021-01-17,58896
Vaccine Administration,Administration,Weekly,Unspecified COVID Vaccine,2021-01-17,33
Vaccine Administration,Distribution,Cumulative Weekly,All COVID Vaccines,2021-01-17,623450
Vaccine Administration,Distribution,Cumulative Weekly,Moderna,2021-01-17,391400
Vaccine Administration,Distribution,Cumulative Weekly,Pfizer,2021-01-17,232050
Vaccine Administration,Distribution,Weekly,All COVID Vaccines,2021-01-17,106025
Vaccine Administration,Distribution,Weekly,Moderna,2021-01-17,68000
Vaccine Administration,Distribution,Weekly,Pfizer,2021-01-17,38025
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-18,358925
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-18,171952
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-18,186890
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-18,81
Vaccine Administration,Administration,Daily,All COVID Vaccines,2021-01-18,10570
Vaccine Administration,Administration,Daily,Moderna,2021-01-18,4894
Vaccine Administration,Administration,Daily,Pfizer,2021-01-18,5675
Vaccine Administration,Administration,Daily,Unspecified COVID Vaccine,2021-01-18,1
Vaccine Administration,Administration,Cumulative Daily,All COVID Vaccines,2021-01-19,374796
Vaccine Administration,Administration,Cumulative Daily,Moderna,2021-01-19,179573
Vaccine Administration,Administration,Cumulative Daily,Pfizer,2021-01-19,195135
Vaccine Administration,Administration,Cumulative Daily,Unspecified COVID Vaccine,2021-01-19,86
